timestamp,ax,ay,az,gx,gy,gz,label
38743,-0.184448,-0.950195,-0.370117,151.977539,-61.767574,-106.689445,infinity
38755,-0.165649,-0.905029,-0.393921,140.74707,-57.800289,-103.881828,infinity
38766,-0.143433,-0.869873,-0.417603,139.404297,-56.213375,-100.646965,infinity
38777,-0.131714,-0.868652,-0.444946,147.583008,-58.04443,-98.510735,infinity
38789,-0.140259,-0.883057,-0.476318,164.611801,-67.687988,-96.252434,infinity
38800,-0.176025,-0.893921,-0.508545,160.03418,-71.472168,-93.994133,infinity
38811,-0.217407,-0.899048,-0.528809,145.019531,-71.716309,-89.965813,infinity
38823,-0.235962,-0.871826,-0.54541,125.91552,-68.359375,-84.289543,infinity
38834,-0.227661,-0.842773,-0.554688,110.961906,-63.537594,-78.430176,infinity
38846,-0.212524,-0.824829,-0.564209,103.088371,-59.204098,-73.364258,infinity
38857,-0.190918,-0.808228,-0.584595,99.914543,-57.067867,-69.213867,infinity
38868,-0.171021,-0.804688,-0.609131,100.097649,-58.471676,-65.795898,infinity
38880,-0.165405,-0.81604,-0.626465,104.73632,-71.044922,-61.218258,infinity
38891,-0.18457,-0.806763,-0.644653,105.041496,-77.758789,-59.814449,infinity
38902,-0.224487,-0.774414,-0.671997,104.248039,-82.092278,-60.05859,infinity
38914,-0.297119,-0.753906,-0.703735,100.280754,-82.275383,-61.157223,infinity
38925,-0.277954,-0.754028,-0.693359,91.552727,-77.392578,-60.119625,infinity
38937,-0.233276,-0.758423,-0.697144,82.580559,-69.763184,-54.931637,infinity
38948,-0.190063,-0.77002,-0.722656,79.406738,-64.453125,-46.813961,infinity
38959,-0.163696,-0.773804,-0.755127,79.284668,-65.307617,-37.353516,infinity
38971,-0.156616,-0.759033,-0.787231,65.856934,-82.763664,-19.287109,infinity
38982,-0.17627,-0.72522,-0.818237,59.326168,-92.956535,-14.953612,infinity
38993,-0.222656,-0.687012,-0.837036,57.312008,-97.900383,-14.831542,infinity
39005,-0.268677,-0.667236,-0.792603,57.434078,-94.116203,-16.845703,infinity
39016,-0.226929,-0.689209,-0.775391,56.457516,-82.824699,-17.944336,infinity
39028,-0.157349,-0.705078,-0.790283,52.307125,-70.678711,-16.357422,infinity
39039,-0.099121,-0.710571,-0.827759,43.701168,-65.063477,-12.145995,infinity
39050,-0.074097,-0.701294,-0.860596,16.540527,-79.833984,-2.01416,infinity
39062,-0.077026,-0.666748,-0.875732,2.929687,-91.674797,0.183105,infinity
39073,-0.095459,-0.648438,-0.879517,-7.873535,-100.46386,-0.183105,infinity
39084,-0.12854,-0.658691,-0.881836,-9.765625,-103.698723,-0.671387,infinity
39096,-0.134155,-0.679565,-0.824463,-6.408691,-99.731438,-0.244141,infinity
39107,-0.086792,-0.716309,-0.793945,-9.887695,-90.393059,1.525879,infinity
39118,-0.02356,-0.723633,-0.794678,-21.606443,-81.237785,5.615234,infinity
39130,0.041504,-0.703369,-0.806396,-34.729004,-78.125,11.230468,infinity
39141,0.091187,-0.705811,-0.82019,-48.828121,-100.097649,20.446775,infinity
39152,0.101196,-0.714844,-0.828735,-50.720211,-119.262688,22.338865,infinity
39164,0.052979,-0.679077,-0.817993,-48.21777,-133.361816,20.324705,infinity
39175,-0.029297,-0.614624,-0.806274,-39.123535,-135.253906,13.427733,infinity
39186,-0.051392,-0.666016,-0.760132,-30.944822,-123.840324,4.882812,infinity
39198,0.020386,-0.765869,-0.728027,-37.109375,-104.187004,0.427246,infinity
39209,0.105957,-0.826172,-0.718994,-61.279293,-85.632317,3.051758,infinity
39220,0.161743,-0.831909,-0.730469,-96.862785,-76.782227,10.925292,infinity
39232,0.185669,-0.789673,-0.744751,-153.015137,-94.66552,23.193357,infinity
39243,0.203125,-0.719849,-0.74585,-153.991699,-116.08886,19.897461,infinity
39255,0.202759,-0.660889,-0.732056,-137.451172,-140.136719,8.911133,infinity
39266,0.102051,-0.606445,-0.700195,-109.191887,-158.630371,-7.629394,infinity
39277,0.08374,-0.66333,-0.635376,-79.956055,-163.024887,-24.230955,infinity
39289,0.132202,-0.786011,-0.588135,-63.537594,-151.000977,-33.935547,infinity
39300,0.195557,-0.910767,-0.567993,-70.251465,-132.385254,-33.935547,infinity
39311,0.226929,-0.970581,-0.549316,-100.524895,-118.530266,-27.587889,infinity
39323,0.242065,-0.922974,-0.537842,-173.339828,-114.013664,-20.996092,infinity
39334,0.263062,-0.817505,-0.541992,-183.349594,-127.258293,-26.000975,infinity
39345,0.260254,-0.727783,-0.525024,-166.25975,-147.338867,-34.484863,infinity
