timestamp,ax,ay,az,gx,gy,gz
172372,0.264160,-0.302368,0.855957,-137.390137,-13.427733,17.150879
172383,0.269165,-0.299316,0.872803,-101.989738,-6.713867,11.291503
172394,0.278198,-0.279907,0.889282,-88.867180,-4.760742,9.460449
172406,0.287598,-0.260742,0.904175,-76.904297,-4.272461,7.995605
172417,0.300415,-0.238403,0.924561,-64.941406,-4.821777,6.103515
172428,0.302002,-0.230469,0.933838,-52.612301,-5.981445,3.417969
172439,0.300171,-0.231445,0.942261,-40.649410,-7.263183,0.305176
172451,0.294556,-0.242310,0.948853,-29.724119,-8.178711,-2.319336
172462,0.287231,-0.258545,0.954712,-20.874022,-8.300781,-4.150391
172473,0.284180,-0.272461,0.960571,-11.901855,-5.126953,-6.958007
172485,0.284302,-0.280640,0.965942,-11.230468,-2.197266,-7.690429
172496,0.285400,-0.285278,0.970947,-11.657714,1.098633,-7.812500
172507,0.291382,-0.281860,0.972046,-12.756347,4.272461,-7.568359
172519,0.296387,-0.270142,0.968262,-13.916015,6.530761,-7.202148
172530,0.301636,-0.256836,0.964355,-13.916015,7.629394,-7.141113
172541,0.306030,-0.245728,0.959229,-11.596679,7.629394,-7.446289
172552,0.308716,-0.238892,0.953369,-6.774902,6.958007,-8.300781
172564,0.308716,-0.239014,0.947876,-0.061035,6.225585,-9.399414
172575,0.307739,-0.248657,0.944458,14.465331,5.249023,-11.352538
172586,0.306274,-0.268311,0.941895,19.165039,5.187988,-11.718749
172597,0.304199,-0.293823,0.937988,19.958496,5.615234,-11.474608
172609,0.308105,-0.324585,0.925903,16.662598,6.347656,-10.681151
172620,0.317383,-0.328857,0.919312,10.864257,6.958007,-9.399414
172631,0.326050,-0.328369,0.914673,4.577637,7.019042,-8.056641
172642,0.329834,-0.320801,0.913208,-0.732422,6.530761,-6.774902
172654,0.329956,-0.308350,0.915283,-4.760742,5.615234,-5.737304
172665,0.328613,-0.295044,0.918457,-7.995605,3.540039,-4.821777
172676,0.326294,-0.284546,0.919800,-6.286621,2.868652,-4.577637
172687,0.324097,-0.277710,0.919312,-3.051758,2.685547,-4.516602
172699,0.322144,-0.276245,0.917358,0.610352,2.624511,-4.455566
172710,0.313354,-0.296021,0.913086,4.333496,2.380371,-4.394531
172721,0.309204,-0.311279,0.910278,7.080078,2.258301,-4.028320
172732,0.307861,-0.322998,0.908813,7.751464,2.136230,-3.417969
172743,0.305908,-0.332886,0.909424,6.347656,1.708984,-2.685547
172755,0.302856,-0.339966,0.910522,3.967285,1.159668,-2.136230
172766,0.300903,-0.340332,0.910034,-2.868652,0.854492,-1.342773
172777,0.299316,-0.335815,0.907837,-6.225585,0.976562,-0.732422
172788,0.297363,-0.331299,0.907227,-7.751464,0.976562,-0.122070
172800,0.294067,-0.323364,0.909302,-7.507324,1.159668,0.244141
172811,0.294922,-0.316284,0.910278,-6.469726,1.525879,0.610352
172822,0.297363,-0.307739,0.912109,-4.760742,1.892090,1.159668
172833,0.300293,-0.300903,0.913330,-2.258301,2.136230,1.586914
172845,0.303467,-0.296875,0.911743,0.610352,2.380371,1.708984
172856,0.305542,-0.296387,0.909790,3.845215,2.807617,1.403808
172867,0.306885,-0.297729,0.908691,4.150391,2.990722,1.281738
172878,0.308838,-0.298706,0.906250,3.479004,3.234863,1.281738
172890,0.311035,-0.301025,0.902222,1.770019,3.540039,1.403808
172901,0.315186,-0.306152,0.894409,-0.244141,3.723144,1.403808
172912,0.315308,-0.303711,0.893066,-2.258301,3.845215,1.403808
172923,0.314941,-0.298706,0.893433,-3.967285,3.662109,1.342773
172935,0.314209,-0.293091,0.894897,-4.943848,3.051758,1.281738
172946,0.312012,-0.286987,0.897705,-4.577637,2.136230,1.464844
172957,0.310059,-0.281860,0.901001,-0.183105,0.732422,1.831055
172968,0.310059,-0.280151,0.903687,1.953125,0.488281,1.525879
172979,0.311279,-0.280273,0.905029,3.662109,0.366211,0.976562
172991,0.312500,-0.281616,0.904907,5.126953,0.488281,0.427246
173002,0.316406,-0.292114,0.900146,5.798339,0.732422,0.000000
173013,0.317993,-0.298828,0.897949,5.676269,0.915527,-0.305176
173024,0.317871,-0.304688,0.897339,4.821777,1.037598,-0.488281
173035,0.316895,-0.306885,0.897827,3.356933,1.159668,-0.427246
173047,0.317139,-0.306030,0.898071,1.342773,1.159668,-0.183105
173058,0.320312,-0.303101,0.897827,-2.014160,0.305176,0.244141
173069,0.324097,-0.296997,0.898193,-2.563476,-0.427246,0.305176
173080,0.325562,-0.289062,0.899902,-2.136230,-1.220703,0.061035
173092,0.323486,-0.285767,0.905396,-0.732422,-2.014160,-0.427246
173103,0.321411,-0.292480,0.908569,1.525879,-2.807617,-0.976562
173114,0.317261,-0.303833,0.910889,3.723144,-3.173828,-1.342773
173125,0.311768,-0.313843,0.911987,4.821777,-2.807617,-1.220703
173137,0.308960,-0.318726,0.912964,4.394531,-1.770019,-0.671387
173148,0.310791,-0.316895,0.913086,1.281738,0.549316,1.098633
173159,0.314697,-0.309448,0.912109,0.061035,0.671387,1.586914
173170,0.317261,-0.299927,0.911255,-0.183105,0.122070,1.586914
173182,0.317627,-0.291382,0.912354,0.488281,-0.610352,1.159668
173193,0.316284,-0.288574,0.914917,1.281738,-0.976562,0.610352
173204,0.315918,-0.294312,0.913940,1.586914,-0.915527,0.183105
173215,0.314209,-0.300049,0.913940,1.342773,-0.793457,0.122070
173227,0.310425,-0.302856,0.913818,0.854492,-0.732422,0.305176
173238,0.307007,-0.302002,0.912598,0.488281,-0.549316,0.732422
173249,0.305908,-0.298218,0.911255,0.488281,0.061035,1.281738
173260,0.307373,-0.293457,0.910767,0.854492,0.244141,1.159668
173272,0.310913,-0.290771,0.910034,1.403808,0.183105,0.976562
173283,0.316895,-0.293823,0.906372,1.770019,-0.244141,0.793457
173294,0.317017,-0.296143,0.907715,1.464844,-0.854492,0.671387
173305,0.315796,-0.297363,0.911499,0.427246,-1.525879,0.732422
173316,0.313599,-0.296631,0.915649,-0.732422,-2.075195,0.854492
173328,0.309937,-0.293701,0.918823,-1.464844,-2.319336,0.915527
173339,0.306274,-0.291626,0.920898,-1.647949,-2.075195,0.671387
173350,0.305420,-0.291870,0.920532,-1.159668,-0.488281,0.061035
173361,0.308228,-0.294312,0.917847,-0.671387,0.061035,0.183105
173373,0.312012,-0.297119,0.915405,0.000000,0.061035,0.366211
173384,0.313232,-0.295288,0.913696,0.549316,-0.427246,0.427246
173395,0.312500,-0.294678,0.914185,0.793457,-1.098633,0.244141
173406,0.312012,-0.293945,0.915527,0.732422,-1.647949,0.000000
173417,0.311401,-0.292603,0.915894,0.549316,-1.831055,-0.122070
